group2	4-nitrophenyl sulfate	a-D-galactopyranoside	A-D-glucopyranoside	a-L-fucopyranoside	B-D-galactopyranoside	B-D-glucopyranoside	B-D-xylopyranoside	N-acetyl-B-D-glucosamine	day	tissue	pig	treatment	muc_deg
19 feces 79	1.74540580697501e-07	4.30834076054664e-05	1.01215659068271e-05	3.99941856096031e-06	1.00487038058952e-05	1.00898692810457e-05	3.4090909090909e-06	2.17320261437908e-05	19	feces	79	RPS	1.77046159575758e-05
19 feces 81	2.30270658457028e-07	8.71936274509804e-05	1.32298761357237e-05	8.16411405900704e-06	1.64656125675902e-05	2.06142305407011e-05	9.23945335710043e-06	0.000112954916815211	19	feces	81	control	3.08637142102882e-05
19 feces 83	0	0.000127354426619132	7.51270182509832e-06	5.55166245036301e-06	1.25218839593363e-05	1.39705882352941e-05	4.3356357694593e-06	4.36868686868687e-05	19	feces	83	control	1.74000000449206e-05
19 feces 84	9.17332737318432e-07	0.000109051916221034	2.1823295508613e-05	8.91607845577631e-06	1.31754546252443e-05	2.68846553773024e-05	6.36697860962567e-06	5.65990790255497e-05	19	feces	84	control	3.80236853113335e-05
19 feces 85	2.24716159424884e-07	8.9444073083779e-05	9.13185096006298e-06	4.94636280746955e-06	1.30677759014823e-05	2.57111556743909e-05	5.059789067142e-06	4.94076797385621e-05	19	feces	85	control	1.93627189940994e-05
19 feces 86	6.49907026234013e-08	0.000111328357100416	1.09162908207102e-05	6.35192506403273e-06	1.6790541995971e-05	4.3100118835413e-05	6.58051099227569e-06	5.71709744503862e-05	19	feces	86	control	2.3913717579642e-05
19 feces 87	8.17068183276454e-07	8.62689393939394e-05	1.73278947467581e-05	5.97685823685531e-06	1.71990235449485e-05	4.67970142602496e-05	5.35316399286986e-06	2.66581253713607e-05	19	feces	87	control	2.94749851597597e-05
19 feces 91	2.0129465724131e-06	0.000213192587641117	2.71616702498741e-05	6.52089286784771e-06	1.78303314828861e-05	4.85702614379085e-05	6.18129827688651e-06	3.6480614973262e-05	19	feces	91	RPS	4.18768079670215e-05
19 feces 93	1.81983878277596e-06	8.38383838383838e-05	3.6709481253195e-05	7.58110277510287e-06	1.67367087292713e-05	2.83738116458705e-05	9.83363042186571e-06	4.56216577540107e-05	19	feces	93	RPS	5.59440532329396e-05
19 feces 94	5.08819436752206e-07	9.06417112299465e-05	1.63456634739794e-05	1.09640787639687e-05	1.93732866285073e-05	2.24171865715983e-05	6.5340909090909e-06	6.72979797979798e-05	19	feces	94	RPS	3.43526525837912e-05
19 feces 95	3.41676100628626e-07	0.000130277035056447	2.66009461295793e-05	7.87259560154548e-06	1.62613836708908e-05	2.48421717171717e-05	5.34759358288769e-06	4.4333036244801e-05	19	feces	95	RPS	4.01628114146411e-05
19 feces 96	6.46231539876831e-07	8.96631758764112e-05	3.14936615203841e-05	3.98644051331726e-06	1.45494457179313e-05	1.89802436125965e-05	3.79159239453357e-06	2.57130124777184e-05	19	feces	96	RPS	3.99179259681118e-05
21 cec_cont 67	3.13834197678629e-07	6.57883986928105e-05	4.10934540481832e-05	5.37648131246662e-08	1.23455109790591e-05	2.12381164587047e-05	1.99234997029114e-06	1.91566399286988e-05	21	cec_cont	67	control	4.34534030292777e-05
21 cec_cont 68	4.84676156089197e-07	7.77666369578134e-05	5.14861071359954e-05	4.04399746695265e-06	1.90780679271151e-05	4.12191770647653e-05	4.43033273915627e-06	3.56469102792632e-05	21	cec_cont	68	control	6.04451134981935e-05
21 cec_cont 69	3.84381900515747e-07	5.45677361853832e-05	2.83258992222765e-05	3.0116500401612e-06	1.7704069020093e-05	1.88298425430778e-05	2.85390671420082e-06	2.46787730243613e-05	21	cec_cont	69	control	3.45758378771543e-05
21 cec_cont 70	4.6240000748853e-07	7.4819890077243e-05	2.2493612313821e-05	3.25857521325393e-06	1.40908599029378e-05	3.18181818181818e-05	3.76745395127748e-06	1.89078282828283e-05	21	cec_cont	70	control	2.99820414858409e-05
21 cec_cont 71	7.70636560752489e-07	8.53405377302436e-05	1.6653865176474e-05	2.4360548727883e-06	1.23770524484621e-05	1.92216280451575e-05	2.50854129530599e-06	1.63194444444444e-05	21	cec_cont	71	control	2.23690979053208e-05
21 cec_cont 72	8.24488251132451e-07	8.79196375519905e-05	1.12987759588417e-05	2.69228098002521e-06	1.6447058210459e-05	2.98165478312537e-05	1.52072192513367e-06	1.36642156862745e-05	21	cec_cont	72	control	1.63362671151331e-05
21 cec_cont 73	7.0934760689305e-07	0.000139572192513369	1.07120109038068e-05	1.09900636160077e-05	3.38410475393443e-05	6.74390968508615e-05	6.68449197860962e-06	5.50040849673202e-05	21	cec_cont	73	control	2.90959141053172e-05
21 cec_cont 74	1.05847691603384e-06	4.04653149138443e-05	8.01963633527034e-06	8.2623996394712e-07	9.0999047488196e-06	3.37733957219251e-05	1.37403446226975e-06	9.21531491384433e-06	21	cec_cont	74	RPS	1.1278387677521e-05
21 cec_cont 75	1.20702521757255e-06	0.000134191176470588	5.99866342332864e-05	4.64001461753264e-06	1.34465545378062e-05	5.56391117052881e-05	5.73566547831253e-06	3.17587641117053e-05	21	cec_cont	75	RPS	7.15693395467041e-05
21 cec_cont 76	7.68785686370515e-07	6.15456030897208e-05	3.15716380272184e-05	3.10449059196602e-06	1.24364895311094e-05	3.75482768865122e-05	3.71360665478313e-06	1.92829025549614e-05	21	cec_cont	76	RPS	3.9158520960338e-05
21 cec_cont 77	1.74553149135044e-06	7.99873737373737e-05	1.71719351684633e-05	2.82226869262101e-06	1.39887274816174e-05	3.65270350564468e-05	2.24487522281639e-06	1.86701574569221e-05	21	cec_cont	77	RPS	2.39846105752512e-05
21 cec_cont 78	1.43915581719484e-06	4.87856506238859e-05	1.58536015935987e-05	1.85118377714337e-06	1.14858290994261e-05	4.8724376114082e-05	2.22630718954249e-06	8.99249851455735e-06	21	cec_cont	78	RPS	2.13702483774794e-05
21 cec_cont 79	1.27758855279464e-06	8.22508169934641e-05	2.21965367151062e-05	4.25193879794537e-06	1.39218742824389e-05	1.50401069518717e-05	3.7191770647653e-06	2.33158793820559e-05	21	cec_cont	79	RPS	3.14452411306115e-05
21 cec_cont 80	9.84200889378272e-07	8.8732917409388e-05	1.89805187868492e-05	1.43156242469892e-06	1.30269478763116e-05	3.08972073677956e-05	1.0769459298871e-06	1.58459595959596e-05	21	cec_cont	80	RPS	2.24732280308134e-05
21 feces 67	0	0.000128325534759358	1.7704850593935e-05	8.2086732728751e-06	2.05875849079312e-05	1.59907902554961e-05	4.16666666666666e-06	5.27146464646465e-05	21	feces	67	control	3.00801905334768e-05
21 feces 68	0	6.90433749257279e-05	1.69231142620942e-05	4.67343496565389e-06	1.52011750139292e-05	1.15437462863933e-05	4.61415626856803e-06	6.16681521093286e-05	21	feces	68	control	2.62107054963161e-05
21 feces 69	0	8.84896761734997e-05	1.45222447379527e-05	5.25828480630749e-06	2.02979456417612e-05	1.42175430778372e-05	4.39133986928104e-06	6.77269013666073e-05	21	feces	69	control	2.41718694135412e-05
21 feces 70	7.98686687070469e-08	0.000153670900178253	2.07184801554676e-05	9.12033360864151e-06	2.28008371473378e-05	1.86794414735591e-05	7.16540404040404e-06	5.18438057040998e-05	21	feces	70	control	3.70840864732202e-05
